ORDER_ID,ORDER_LINE_ID,ORDER_DATE,CUSTOMER_ID,PRODUCT_ID,STORE_ID,QTY,UNIT_PRICE,DISCOUNT_PCT,PAYMENT_TYPE,ORDER_STATUS
O9018,5,2026-06-23,C1991,P1028,S008,6,1499,15,CASH,RETURNED
O9019,4,2024-10-28,C1807,P1147,S034,4,2999,25,CASH,RETURNED
O9019,2,2024-01-11,C1522,P1141,S033,1,4999,20,CARD,RETURNED
O9019,1,2025-06-10,C1804,P1133,S015,1,49,,CASH,RETURNED
O9019,2,2026-01-10,C1366,P1144,S044,3,99,-5,CARD,PENDING
O9020,2,2025-05-18,C0705,P1017,S006,5,49,25,UPI,RETURNED
O9021,3,2026-04-14,C1394,P1111,S050,1,49,5,UPI,CANCELLED
O9022,2,2024-05-28,C1691,P1177,S016,3,49,25,123,COMPLETED
O9022,5,2026-08-21,C1566,P1028,S009,2,19999,0,CARD,PENDING
O9023,3,2024-10-27,C0640,P1151,S032,4,4999,25,CASH,COMPLETED
O9023,1,2026-05-13,C1110,P1024,S003,5,99,10,UPI,CANCELLED
O9024,2,2025-12-25,C1888,P1014,S017,10,19999,15,CARD,RETURNED
O9024,5,2024-09-07,C0412,P1057,S041,8,199,NA,CASH,COMPLETED
O9024,5,2025-07-18,C0809,P1047,S045,2,1499,,,COMPLETED
O9024,1,2026-07-12,C0815,P1199,S027,7,199,5,CASH,CANCELLED
O9025,1,2025-02-18,C0394,P1141,S040,4,99,10,CASH,CANCELLED
O9026,4,2025-10-21,C1032,P1073,S003,7,1499,10,CASH,RETURNED
O9026,4,2025-12-15,C1557,P1107,S007,4,49,25,UPI,RETURNED
O9026,1,2026-10-25,C0201,P1133,S024,3,9999,,CASH,CANCELLED
O9026,3,2024-04-08,C1560,P1178,S026,8,49,25,UPI,RETURNED
O9027,3,2025-06-30,C0486,P1029,S035,6,49,25,NETBANKING,PENDING
O9027,3,2026-01-23,C0495,P1096,S012,9,19999,0,UPI,COMPLETED
O9028,1,2024-12-30,C1654,P1012,S027,8,199,0,CARD,COMPLETED
O9029,3,2026-01-03,C0774,P1141,S043,5,99,0,CARD,COMPLETED
O9030,3,2025-09-23,C1703,P1179,S011,8,19999,25,CASH,PENDING
O9031,5,2026-12-08,C1730,P1129,S018,10,2999,15,CASH,PENDING
O9031,5,2025-06-17,C0959,P1170,S024,7,49,10,CASH,COMPLETED
O9032,4,2024-01-10,C0492,P1139,S002,3,2999,20,CASH,CANCELLED
O9032,3,2024-04-12,C0925,P1033,S039,3,2999,20,NETBANKING,PENDING
O9032,5,2024-08-13,C0366,P1077,S033,6,19999,15,CARD,RETURNED
O9033,4,2025-03-14,C1104,P1139,S044,8,99,25,CARD,CANCELLED
O9033,4,2026-09-02,C1912,P1090,S015,1,19999,20,CASH,PENDING
O9034,5,2025-04-03,C0061,P1145,S046,1,9999,5,,RETURNED
O9034,5,2025-08-20,C0547,P1082,S008,3,49,0,CRD,COMPLETED
O9035,3,2025-03-04,C1052,P1183,S013,10,199,,,CANCELLED
O9035,4,2024-08-02,C1414,P1052,S021,1,49,5,NETBANKING,RETURNED
O9036,2,2025-06-18,C0702,P1163,S028,8,99,10,UPI,CANCELLED
O9036,5,2025-04-06,C0178,P1130,S044,7,4999,5,CASH,PENDING
O9037,4,2026-01-28,C0540,P1055,S002,1,2999,20,NETBANKING,CANCELLED
O9038,4,2024-12-28,C0748,P1039,S031,8,4999,25,,COMPLETED
O9039,2,2025-06-28,C1035,P1196,S011,6,2999,25,NETBANKING,RETURNED
O9039,3,2025-03-12,C0535,P1056,S028,5,899,NA,UPI,PENDING
O9039,2,2024-12-16,C0065,P1096,S014,9,19999,25,CASH,CANCELLED
O9039,4,2024-02-17,C1057,P1045,S036,4,899,,UPI,RETURNED
O9039,3,2026-12-08,C1653,P1001,S001,4,9999,15,CASH,PENDING
O9040,1,2024-11-04,C1807,P1137,S007,3,19999,0,CASH,COMPLETED
O9040,5,2025-07-03,C0805,P1078,S032,4,99,10,,RETURNED
O9040,2,2024-09-25,C0204,P1063,S002,10,899,5,NETBANKING,CANCELLED
O9040,2,2025-09-26,C0559,P1037,S013,8,899,10,NETBANKING,CANCELLED
O9041,4,2025-05-23,C0325,P1199,S032,1,9999,5,UPI,COMPLETED
O9041,3,2024-02-25,C0099,P1026,S029,10,2999,25,UPI,PENDING
O9041,2,2024-04-11,C0937,P1188,S026,7,19999,NA,,CANCELLED
O9041,3,2025-09-20,C0299,P1006,S021,2,1499,10,NETBANKING,CANCELLED
O9041,3,2024-10-17,C0572,P1046,S042,7,9999,0,CASH,RETURNED
O9041,3,2024-08-31,C0861,P1191,S041,9,899,,NETBANKING,PENDING
O9041,1,2026-10-03,C0037,P1131,S019,3,899,20,NETBANKING,COMPLETED
O9042,4,2026-01-26,C0839,P1041,S007,1,99,10,,COMPLETED
O9043,4,2025-09-26,C0816,P1019,S009,2,19999,,UPI,COMPLETED
O9043,1,2024-01-28,C0969,P1073,S010,9,99,25,,RETURNED
O9043,5,2026-10-29,C0406,P1135,S021,7,2999,0,CRD,RETURNED
O9043,2,2026-12-11,C0624,P1068,S042,8,9999,10,CARD,PENDING
O9043,3,2024-11-17,C1063,P1173,S046,7,9999,0,,COMPLETED
O9044,5,2026-02-01,C0224,P1048,S041,4,199,10,CASH,PENDING
O9044,1,2026-09-20,C1444,P1016,S041,6,2999,15,,CANCELLED
O9045,2,2026-05-17,C1395,P1196,S039,2,899,,CASH,COMPLETED
O9045,3,2026-03-28,C1785,P1092,S012,7,1499,25,UPI,COMPLETED
O9045,2,2024-12-16,C1223,P1015,S022,9,899,5,CASH,CANCELLED
O9045,4,2026-03-10,C0082,P1069,S001,2,199,,NETBANKING,RETURNED
O9045,3,2025-08-09,C0750,P1136,S017,10,99,15,UPI,COMPLETED
O9045,5,2026-07-28,C1845,P1164,S024,2,99,5,CARD,CANCELLED
O9046,5,2024-11-21,C0972,P1113,S050,7,9999,15,NETBANKING,CANCELLED
O9046,4,2026-08-11,C1868,P1007,S033,6,19999,15,CASH,COMPLETED
O9047,4,2026-04-29,C1480,P1122,S020,1,4999,25,UPI,PENDING
O9047,3,2026-08-17,C1484,P1129,S027,1,19999,0,CARD,PENDING
O9047,4,2025-10-07,C1277,P1055,S014,1,199,15,NETBANKING,PENDING
O9047,3,2026-05-03,C1482,P1138,S016,4,2999,5,NETBANKING,CANCELLED
O9048,2,2026-07-11,C1485,P1024,S015,8,1499,15,CARD,RETURNED
O9048,3,2024-06-06,C1590,P1137,S042,7,49,5,UPI,CANCELLED
O9048,4,2025-05-21,C1180,P1153,S047,4,899,10,CARD,PENDING
O9048,2,2026-05-03,C0432,P1156,S011,9,19999,0,,CANCELLED
O9049,1,2025-06-17,C1083,P1142,S017,9,1499,5,UPI,RETURNED
O9050,4,2024-12-25,C1629,P1023,S026,10,2999,25,CASH,CANCELLED
O9051,4,2025-04-14,C0108,P1122,S007,2,99,25,NETBANKING,CANCELLED
O9052,4,2024-03-22,C1876,P1084,S043,1,9999,5,NETBANKING,PENDING
O9052,3,2024-06-02,C1538,P1178,S024,9,2999,0,CARD,COMPLETED
O9052,5,2025-12-03,C0457,P1149,S033,3,4999,5,CARD,RETURNED
O9053,4,2026-09-23,C1811,P1190,S024,1,499,25,NETBANKING,RETURNED
O9053,2,2026-07-16,C1103,P1170,S006,10,199,0,CASH,CANCELLED
O9053,5,2026-05-27,C0751,P1137,S049,6,199,25,,CANCELLED
O9053,1,2025-12-18,C1610,P1152,S033,7,899,25,,RETURNED
O9053,5,2026-01-14,C0604,P1015,S035,6,49,0,CARD,COMPLETED
O9054,3,2025-01-11,C0457,P1067,S046,1,19999,10,CARD,CANCELLED
O9055,3,2026-09-09,C0076,P1191,S044,2,1499,25,123,CANCELLED
O9055,2,2025-03-15,C0207,P1169,S045,5,49,10,,CANCELLED
O9056,1,2024-02-02,C0225,P1122,S045,2,1499,25,CARD,CANCELLED
O9056,3,2024-01-21,C0350,P1143,S036,9,499,5,,PENDING
O9057,1,2026-11-08,C1515,P1035,S016,3,2999,15,NETBANKING,CANCELLED
O9057,2,2024-09-20,C0269,P1166,S018,4,99,25,CASH,RETURNED
O9057,5,2025-01-06,C0787,P1096,S050,6,899,20,CASH,PENDING
O9058,2,2024-07-27,C1572,P1142,S021,4,19999,20,CARD,CANCELLED
O9058,2,2024-06-10,C1609,P1008,S049,1,99,5,CARD,COMPLETED
O9058,2,2025-03-28,C0477,P1041,S024,8,4999,0,NETBANKING,COMPLETED
O9059,5,2024-02-06,C1589,P1107,S026,6,199,25,CASH,RETURNED
O9059,1,2026-04-26,C0116,P1041,S041,10,899,-5,UPI,RETURNED
O9059,4,2024-02-12,C0863,P1073,S019,6,899,0,UPI,PENDING
O9060,5,2024-09-04,C0140,P1112,S007,3,1499,15,UPI,RETURNED
O9060,1,2026-11-15,C0388,P1035,S035,3,99,15,CARD,PENDING
O9061,2,2025-11-01,C1443,P1191,S044,5,199,5,UPI,RETURNED
O9062,1,2025-09-23,C0191,P1032,S007,10,2999,25,UPI,CANCELLED
O9063,5,2026-05-05,C1519,P1096,S046,10,9999,10,,CANCELLED
O9063,2,2026-07-06,C0540,P1113,S019,8,4999,5,NETBANKING,RETURNED
O9063,4,2026-05-07,C1267,P1121,S009,1,899,,CASH,COMPLETED
O9063,3,2026-11-07,C0006,P1170,S016,9,499,0,UPI,CANCELLED
O9063,3,2026-04-05,C0189,P1087,S019,10,9999,10,CARD,PENDING
O9063,1,2026-07-31,C0221,P1027,S018,5,499,,123,RETURNED
O9063,2,2024-06-08,C0411,P1130,S025,7,9999,15,,PENDING
O9063,3,2025-08-16,C0554,P1018,S023,5,1499,,NETBANKING,PENDING
O9063,4,2024-06-30,C0143,P1147,S032,7,2999,20,CASH,COMPLETED
O9064,3,2025-12-02,C1385,P1059,S027,7,9999,0,CRD,COMPLETED
O9065,4,2025-01-04,C0690,P1011,S013,8,499,0,,COMPLETED
O9065,5,2026-07-14,C1411,P1074,S021,8,99,5,NETBANKING,CANCELLED
O9066,3,2026-12-06,C0276,P1151,S034,2,99,5,NETBANKING,COMPLETED
O9067,2,2025-02-26,C0805,P1066,S043,7,199,15,,RETURNED
O9068,3,2025-04-10,C0965,P1143,S028,3,1499,10,CARD,COMPLETED
O9068,4,2025-06-29,C1152,P1133,S041,8,19999,,,PENDING
O9068,4,2024-04-25,C0098,P1192,S005,7,99,15,CARD,CANCELLED
O9069,2,2026-12-22,C0625,P1061,S034,3,199,10,NETBANKING,CANCELLED
O9069,3,2026-12-16,C0105,P1018,S007,7,899,25,,COMPLETED
O9070,4,2026-02-07,C0501,P1106,S031,3,49,NA,CARD,COMPLETED
O9070,3,2024-03-29,C0939,P1058,S037,1,2999,15,,CANCELLED
O9071,3,2026-11-30,C1705,P1107,S041,8,899,,CARD,RETURNED
O9072,2,2025-12-15,C1340,P1004,S038,9,1499,20,NETBANKING,PENDING
O9073,1,2024-02-22,C0710,P1135,S021,10,2999,5,NETBANKING,PENDING
O9074,5,2024-04-26,C1378,P1066,S041,4,1499,25,NETBANKING,CANCELLED
O9074,2,2025-10-05,C1554,P1142,S021,4,199,5,CRD,RETURNED
O9075,3,2024-09-08,C1913,P1158,S013,1,49,20,UPI,CANCELLED
O9075,2,2026-05-29,C0433,P1012,S020,4,4999,10,UPI,COMPLETED
O9075,1,2026-04-23,C0821,P1039,S029,1,199,15,CARD,RETURNED
O9075,2,2024-07-14,C0736,P1006,S029,5,1499,5,CASH,PENDING
O9075,5,2026-06-05,C0989,P1016,S022,4,99,0,NETBANKING,PENDING
O9076,3,2024-12-31,C0162,P1136,S022,4,4999,5,,CANCELLED
O9077,3,2025-02-08,C0651,P1115,S020,2,499,25,UPI,COMPLETED
O9078,1,2024-04-03,C1406,P1184,S050,7,99,15,CARD,COMPLETED
O9078,2,2026-04-15,C0825,P1010,S018,5,499,20,CARD,RETURNED
O9079,4,2025-12-19,C0522,P1076,S002,6,2999,15,UPI,PENDING
O9080,1,2026-04-30,C0711,P1032,S016,1,4999,,CARD,PENDING
O9080,3,2026-02-09,C1913,P1012,S034,10,899,20,NETBANKING,RETURNED
O9080,5,2025-04-22,C1657,P1116,S027,10,9999,25,CASH,PENDING
O9081,3,2026-02-11,C1017,P1176,S019,9,1499,10,CRD,COMPLETED
O9081,5,2025-06-12,C0115,P1011,S034,5,9999,15,NETBANKING,COMPLETED
O9081,1,2026-12-29,C0490,P1050,S033,7,9999,20,CARD,RETURNED
O9082,1,2024-12-13,C1972,P1146,S025,7,1499,10,NETBANKING,CANCELLED
O9083,4,2025-07-19,C0400,P1028,S039,7,19999,10,UPI,RETURNED
O9084,4,2026-06-04,C0559,P1138,S016,10,1499,5,UPI,COMPLETED
O9084,2,2024-06-16,C0788,P1072,S047,8,199,25,,CANCELLED
O9085,3,2026-06-06,C0630,P1160,S018,7,1499,20,CASH,RETURNED
O9085,3,2024-08-26,C0871,P1090,S021,9,19999,25,CASH,CANCELLED
O9085,1,2025-10-19,C0402,P1100,S048,2,899,NA,CARD,CANCELLED
O9085,5,2025-09-18,C0464,P1072,S046,7,499,15,UPI,COMPLETED
O9085,1,2026-08-27,C0316,P1029,S021,5,899,25,CARD,PENDING
O9085,3,2025-03-24,C0506,P1025,S039,4,199,0,CARD,CANCELLED
O9085,4,2026-02-15,C0380,P1018,S031,10,99,0,NETBANKING,RETURNED
O9085,1,2025-01-28,C1024,P1086,S045,1,2999,15,NETBANKING,PENDING
O9086,2,2024-03-08,C1527,P1138,S008,9,199,25,UPI,CANCELLED
O9086,4,2025-04-06,C0568,P1090,S046,3,49,,NETBANKING,CANCELLED
O9086,1,2024-08-31,C0441,P1103,S031,2,1499,20,CASH,COMPLETED
O9086,3,2025-07-30,C1015,P1100,S027,5,49,25,CASH,PENDING
O9086,1,2026-11-21,C0016,P1108,S007,6,49,25,CARD,RETURNED
O9086,3,2026-10-28,C1467,P1195,S011,7,1499,20,NETBANKING,CANCELLED
O9087,5,2026-05-20,C1967,P1006,S035,3,4999,5,NETBANKING,CANCELLED
O9087,2,2024-08-25,C1367,P1184,S012,2,899,20,,CANCELLED
O9087,5,2024-02-21,C0852,P1091,S003,5,499,15,CARD,PENDING
O9087,4,2025-01-21,C1253,P1098,S001,9,19999,20,UPI,PENDING
O9088,2,2026-08-17,C0512,P1125,S040,10,1499,10,CARD,RETURNED
O9088,2,2026-03-31,C0629,P1086,S040,2,19999,0,NETBANKING,RETURNED
O9089,1,2026-07-20,C1229,P1164,S010,9,899,10,NETBANKING,PENDING
O9089,4,2024-02-04,C1711,P1100,S006,10,1499,5,,COMPLETED
O9090,1,2026-11-06,C1002,P1085,S006,1,99,20,UPI,COMPLETED
O9091,3,2024-04-05,C0922,P1153,S043,8,49,20,CASH,COMPLETED
O9092,1,2026-02-10,C1302,P1135,S009,2,19999,0,,COMPLETED
O9093,1,2024-04-15,C0716,P1082,S012,8,19999,25,CRD,PENDING
O9093,2,2025-07-25,C1853,P1140,S046,3,499,0,CARD,RETURNED
O9093,4,2024-01-19,C0146,P1163,S031,4,2999,10,,CANCELLED
O9094,5,2024-07-12,C0002,P1058,S049,6,49,15,CARD,CANCELLED
O9094,4,2026-01-15,C1232,P1012,S024,6,199,0,NETBANKING,CANCELLED
O9094,5,2024-07-29,C0592,P1119,S031,1,499,15,NETBANKING,CANCELLED
O9094,4,2025-01-24,C0554,P1162,S038,9,499,25,UPI,CANCELLED
O9094,2,2026-09-07,C1139,P1053,S040,10,49,15,NETBANKING,RETURNED
O9095,1,2025-10-11,C0454,P1128,S003,10,49,15,NETBANKING,PENDING
O9095,5,2025-11-14,C0244,P1099,S014,2,9999,5,UPI,PENDING
O9095,4,2026-04-22,C0234,P1187,S045,6,49,10,NETBANKING,PENDING
O9096,2,2025-10-01,C0398,P1119,S040,7,99,10,CARD,COMPLETED
O9097,1,2025-10-25,C1343,P1186,S025,5,1499,15,CASH,RETURNED
O9098,3,2024-04-09,C0262,P1131,S027,10,19999,5,NETBANKING,RETURNED
O9098,2,2026-03-17,C0573,P1093,S005,10,99,5,,CANCELLED
O9099,4,2024-08-21,C1853,P1148,S010,1,9999,15,NETBANKING,COMPLETED
O9100,4,2024-04-29,C0063,P1162,S020,5,2999,20,CASH,COMPLETED
O9101,2,2025-03-23,C0545,P1083,S020,4,2999,0,,PENDING
O9102,1,2025-12-24,C0431,P1187,S001,1,2999,20,CARD,COMPLETED
O9102,1,2025-04-17,C0013,P1026,S035,4,9999,15,CASH,COMPLETED
O9103,5,2026-07-13,C1705,P1108,S027,9,2999,0,CASH,PENDING
O9103,2,2025-07-18,C1937,P1020,S022,2,199,20,UPI,RETURNED
O9103,5,2025-11-12,C1105,P1113,S013,6,899,15,UPI,PENDING
O9103,5,2025-04-15,C0050,P1042,S021,10,499,25,UPI,COMPLETED
O9104,1,2026-08-14,C0932,P1116,S011,1,899,25,UPI,PENDING
O9104,1,2025-01-29,C1067,P1192,S016,4,199,5,CARD,PENDING
O9105,1,2025-09-04,C1142,P1106,S050,6,19999,15,CARD,RETURNED
O9105,4,2026-07-29,C0680,P1181,S048,2,899,,CARD,PENDING
O9106,1,2025-08-31,C1602,P1100,S021,4,1499,15,CASH,RETURNED
O9107,1,2024-09-11,C1935,P1042,S032,2,2999,0,NETBANKING,CANCELLED
O9108,5,2024-02-21,C1213,P1013,S028,2,1499,25,,CANCELLED
O9108,1,2025-09-14,C0379,P1198,S032,7,99,-5,UPI,COMPLETED
O9108,2,2026-06-04,C1408,P1046,S023,7,19999,15,CASH,PENDING
O9108,3,2025-07-03,C0126,P1162,S001,2,9999,15,UPI,CANCELLED
O9108,3,2026-08-17,C0222,P1163,S017,2,49,20,CARD,RETURNED
O9108,4,2026-06-13,C0607,P1094,S044,5,9999,5,CARD,RETURNED
O9109,3,2025-08-25,C0548,P1006,S022,6,9999,20,UPI,COMPLETED
O9110,3,2026-02-11,C1394,P1111,S034,5,2999,10,NETBANKING,PENDING
O9110,3,2024-08-15,C0658,P1164,S044,8,899,5,,RETURNED
O9110,5,2025-05-02,C0741,P1191,S038,7,49,,UPI,RETURNED
O9111,1,2025-09-28,C0540,P1109,S043,2,19999,0,CASH,RETURNED
O9111,1,2026-03-10,C0251,P1184,S040,7,9999,,NETBANKING,CANCELLED
O9112,2,2024-08-31,C1048,P1121,S048,7,9999,,CARD,RETURNED
O9113,2,2025-07-03,C1919,P1033,S013,7,4999,,UPI,PENDING
O9113,4,2025-12-08,C0428,P1054,S045,6,19999,,CARD,COMPLETED
O9114,5,2024-05-12,C0939,P1043,S022,3,19999,5,UPI,CANCELLED
O9115,3,2025-11-26,C1084,P1198,S007,2,99,10,NETBANKING,RETURNED
O9115,2,2024-03-31,C1610,P1153,S045,2,899,25,CARD,PENDING
O9115,4,2025-12-16,C0833,P1155,S021,2,9999,0,UPI,COMPLETED
O9115,1,2025-07-18,C1113,P1125,S045,8,1499,5,,PENDING
O9116,2,2024-07-17,C0242,P1102,S038,9,19999,25,CARD,CANCELLED
O9116,4,2024-12-04,C1217,P1070,S037,1,4999,5,CASH,CANCELLED
O9116,3,2025-06-16,C1608,P1128,S028,1,199,25,NETBANKING,PENDING
O9117,3,2026-12-20,C0873,P1163,S003,4,199,10,CARD,RETURNED
O9117,2,2024-03-22,C1849,P1026,S029,5,9999,0,CARD,COMPLETED
O9117,3,2025-05-27,C1645,P1160,S031,3,899,NA,UPI,RETURNED
O9117,2,2024-10-10,C1702,P1014,S046,7,499,15,NETBANKING,RETURNED
O9118,4,2026-03-29,C1240,P1104,S010,6,99,20,NETBANKING,PENDING
O9118,1,2026-06-30,C1395,P1145,S023,10,899,20,CASH,PENDING
O9118,4,2026-01-16,C1109,P1164,S026,9,19999,NA,NETBANKING,RETURNED
O9119,3,2026-03-21,C0066,P1131,S016,2,2999,20,,PENDING
O9120,5,2026-06-23,C1580,P1108,S020,3,49,5,UPI,PENDING
O9121,3,2026-02-24,C0109,P1008,S015,2,49,15,CARD,PENDING
O9121,1,2025-08-28,C1769,P1017,S020,3,899,5,CARD,COMPLETED
O9121,5,2024-01-26,C0382,P1123,S046,4,99,5,UPI,CANCELLED
O9121,5,2026-11-26,C1248,P1028,S032,6,1499,10,NETBANKING,COMPLETED
O9122,1,2024-09-12,C0668,P1168,S006,4,199,25,NETBANKING,PENDING
O9122,4,2024-08-27,C0689,P1026,S009,10,19999,,UPI,COMPLETED
O9123,2,2026-10-29,C1894,P1017,S035,3,2999,,NETBANKING,PENDING
O9124,5,2024-10-20,C0900,P1055,S003,2,899,10,UPI,COMPLETED
O9125,1,2024-05-07,C0673,P1111,S027,9,1499,0,CARD,COMPLETED
O9126,4,2024-02-23,C1640,P1125,S009,1,1499,10,CASH,PENDING
O9126,4,2025-01-22,C0652,P1121,S035,9,4999,15,,CANCELLED
O9126,3,2025-01-04,C0658,P1197,S033,6,199,25,NETBANKING,PENDING
O9127,5,2026-02-25,C1933,P1085,S026,7,9999,25,CARD,RETURNED
O9128,5,2026-07-18,C0872,P1107,S020,8,499,25,,CANCELLED
O9128,1,2025-06-28,C1997,P1012,S011,10,499,10,CARD,PENDING
O9128,1,2025-12-22,C1523,P1198,S013,4,4999,20,UPI,RETURNED
O9128,2,2024-05-29,C1866,P1189,S050,10,49,10,UPI,PENDING
O9129,1,2025-07-27,C0055,P1187,S036,6,199,15,NETBANKING,RETURNED
O9130,1,2026-01-04,C1854,P1010,S001,5,899,25,CARD,RETURNED
O9130,1,2026-12-04,C0196,P1053,S039,10,4999,,NETBANKING,RETURNED
O9131,3,2025-12-08,C0251,P1106,S021,1,499,25,,PENDING
O9132,3,2026-09-28,C1999,P1166,S035,6,899,25,UPI,PENDING
O9132,5,2024-10-27,C1377,P1149,S025,6,99,,,RETURNED
O9132,2,2024-09-09,C0397,P1088,S037,7,899,5,CARD,COMPLETED
O9133,4,2024-05-30,C0573,P1086,S028,6,4999,10,NETBANKING,PENDING
O9134,2,2024-04-19,C1142,P1021,S016,3,1499,20,CASH,PENDING
O9134,4,2025-10-28,C1682,P1176,S008,7,199,25,123,COMPLETED
O9134,1,2024-05-23,C0769,P1199,S012,5,9999,10,CARD,RETURNED
O9135,3,2024-10-14,C0891,P1044,S043,4,9999,5,CARD,COMPLETED
O9136,1,2024-11-19,C1476,P1053,S034,8,199,5,CARD,CANCELLED
O9136,2,2026-01-12,C0806,P1179,S038,2,2999,NA,CARD,PENDING
O9136,5,2025-08-17,C0854,P1071,S035,6,4999,25,CASH,PENDING
O9136,2,2025-12-16,C1306,P1180,S018,6,19999,5,NETBANKING,CANCELLED
O9136,3,2024-03-22,C1136,P1114,S044,7,49,NA,,CANCELLED
O9136,5,2024-03-20,C1276,P1078,S007,9,899,5,NETBANKING,CANCELLED
O9137,1,2024-12-23,C0780,P1051,S017,2,1499,,NETBANKING,CANCELLED
O9137,2,2026-02-27,C1332,P1090,S025,2,2999,15,UPI,PENDING
O9137,3,2026-07-05,C1770,P1040,S036,5,1499,15,CARD,RETURNED
O9138,1,2025-02-08,C0901,P1011,S038,6,2999,0,CASH,RETURNED
O9138,5,2026-01-07,C1751,P1045,S049,4,899,5,UPI,RETURNED
O9138,2,2026-11-05,C1477,P1055,S037,3,4999,5,CARD,RETURNED
O9138,3,2025-10-20,C0446,P1048,S022,8,2999,20,NETBANKING,COMPLETED
O9139,4,2025-09-05,C0476,P1022,S030,7,899,20,CARD,RETURNED
O9140,1,2026-04-10,C1117,P1125,S037,2,9999,10,CARD,RETURNED
O9141,1,2026-03-29,C0350,P1127,S004,1,99,10,CARD,PENDING
O9141,5,2026-03-23,C1520,P1135,S008,5,1499,25,CARD,RETURNED
O9141,4,2026-12-23,C0964,P1118,S021,8,4999,10,CASH,CANCELLED
O9141,4,2025-11-18,C1442,P1074,S002,4,19999,10,UPI,RETURNED
O9141,3,2025-11-01,C0341,P1077,S018,3,99,5,NETBANKING,CANCELLED
