STORE_ID,STORE_NAME,REGION,CITY,STATE,COUNTRY,OPEN_DATE,STATUS
S0071,Store_71,EAST,Jaipur,,India,,CLOSED
S0072,,EAST,Indore,,India,2021-05-30,RENOVATION
,Store_73,EAST,Delhi,WB,,2023-03-06,OPEN
S0074,Store_74,NORTH,,RJ,,2023-07-18,CLOSED
,Store_75,CENTRAL,Delhi,KA,India,2021-11-02,
,,CENTRAL,Indore,TN,India,2024-04-20,CLOSED
S0077,Store_77,EAST,Kochi,,India,2024-08-21,
S0078,,CENTRAL,Delhi,KL,India,2024-06-02,
S0079,,WEST,Delhi,KA,India,2021-06-06,
S0080,Store_80,,Pune,KL,India,2023-01-28,
S0081,Store_81,,Kochi,RJ,,2025-06-14,CLOSED
S0082,,SOUTH,,MP,India,2022-03-17,OPEN
S0083,Store_83,,,WB,India,2025-06-13,CLOSED
S0084,Store_84,SOUTH,Hyderabad,TN,,,RENOVATION
S0085,,SOUTH,Indore,KA,India,2022-02-04,
S0086,Store_86,NORTH,,KL,,2021-11-25,OPEN
,,SOUTH,Bengaluru,KA,India,2022-01-12,CLOSED
,Store_88,NORTH,,KA,India,2021-03-16,OPEN
S0089,,WEST,Hyderabad,MP,India,,RENOVATION
S0090,Store_90,SOUTH,Jaipur,DL,,,OPEN
S0091,,,Indore,WB,India,2025-02-22,OPEN
,,SOUTH,Delhi,RJ,India,2025-11-16,OPEN
S0093,Store_93,,Indore,,India,2021-05-10,RENOVATION
,Store_94,NORTH,Chennai,TN,,2021-04-09,RENOVATION
S0095,Store_95,,Hyderabad,,India,2021-04-03,CLOSED
S0096,,NORTH,Pune,,India,2025-12-15,CLOSED
S0097,Store_97,WEST,Kochi,,India,2025-02-11,
S0098,Store_98,EAST,,MH,India,,CLOSED
S0099,,WEST,,KL,India,2022-01-31,CLOSED
,Store_100,SOUTH,Pune,,India,2022-07-22,CLOSED
S0101,Store_101,WEST,Indore,TN,,2024-01-04,
S0102,Store_102,CENTRAL,Pune,,India,2025-04-20,
S0103,Store_103,,Chennai,TN,India,2023-04-06,
S0104,,EAST,Chennai,TS,India,,RENOVATION
,Store_105,,Hyderabad,MP,India,2024-02-01,OPEN
S0106,Store_106,SOUTH,,,India,2024-07-13,CLOSED
S0107,Store_107,,Kochi,,India,2023-01-15,OPEN
,,EAST,Hyderabad,DL,India,2021-08-12,OPEN
S0109,Store_109,NORTH,Delhi,RJ,,,OPEN
,Store_110,CENTRAL,Bengaluru,DL,India,2024-12-21,
,Store_111,EAST,Indore,TN,India,,OPEN
S0112,Store_112,WEST,,DL,,2021-05-24,RENOVATION
,Store_113,CENTRAL,Hyderabad,,India,2023-01-26,OPEN
,Store_114,NORTH,,MH,India,2021-03-17,CLOSED
S0115,,WEST,Kolkata,DL,India,,CLOSED
S0116,,CENTRAL,Kochi,,India,2021-03-19,OPEN
S0117,Store_117,,Chennai,,India,2024-01-01,CLOSED
S0118,Store_118,EAST,,RJ,India,,RENOVATION
S0119,Store_119,CENTRAL,,,India,2022-05-13,RENOVATION
S0120,Store_120,,Kolkata,,India,2022-11-27,CLOSED
S0121,,,Chennai,MH,India,2023-08-15,OPEN
,Store_122,SOUTH,Pune,KL,,2025-06-30,OPEN
S0123,Store_123,WEST,Chennai,,India,,CLOSED
S0124,,CENTRAL,Kolkata,MP,India,,OPEN
S0125,,NORTH,Mumbai,WB,India,,CLOSED
,Store_126,,Mumbai,KA,India,2025-06-30,OPEN
S0127,Store_127,EAST,,,India,2024-12-10,RENOVATION
S0128,Store_128,SOUTH,,MP,India,,RENOVATION
,Store_129,WEST,Kolkata,,India,2022-01-18,CLOSED
S0130,Store_130,,,KA,India,2021-05-03,RENOVATION
S0131,Store_131,,Kochi,DL,India,,OPEN
S0132,Store_132,,Jaipur,RJ,India,2021-07-04,
S0133,Store_133,SOUTH,Kochi,KA,India,,
S0134,Store_134,EAST,Jaipur,,India,,OPEN
S0135,Store_135,,Bengaluru,MP,India,2025-06-22,
S0136,Store_136,,Mumbai,RJ,India,2025-07-24,
S0137,Store_137,EAST,,RJ,,2024-04-22,RENOVATION
S0138,Store_138,EAST,Jaipur,MH,,2023-11-21,
S0139,Store_139,,,TN,India,2022-07-08,CLOSED
S0140,Store_140,CENTRAL,,TN,India,2024-05-24,
S0141,Store_141,,Pune,MP,,2023-07-22,RENOVATION
S0142,Store_142,WEST,,,India,2026-01-13,CLOSED
S0143,,EAST,Indore,WB,India,,OPEN
S0144,,SOUTH,Indore,,India,2021-02-15,CLOSED
S0145,Store_145,EAST,,KL,India,,CLOSED
S0146,,WEST,Jaipur,KL,,2023-09-27,RENOVATION
S0147,Store_147,NORTH,,KL,India,2022-05-04,
S0148,Store_148,,Bengaluru,MH,,2022-07-04,OPEN
,,NORTH,Delhi,TS,India,2025-10-20,RENOVATION
,Store_150,CENTRAL,Chennai,TN,,2022-02-08,OPEN
S0151,Store_151,,Mumbai,DL,India,2023-09-20,
S0152,Store_152,,,KL,India,2022-02-24,CLOSED
S0153,Store_153,SOUTH,Delhi,,India,,OPEN
S0154,Store_154,,Jaipur,DL,India,,OPEN
S0155,,SOUTH,Indore,DL,,2023-04-10,RENOVATION
,Store_156,NORTH,,TN,India,2022-05-02,RENOVATION
,Store_157,EAST,Chennai,MH,,2024-07-07,RENOVATION
S0158,,,Chennai,WB,India,2025-04-20,RENOVATION
S0159,Store_159,EAST,,KL,India,,OPEN
S0160,Store_160,EAST,Jaipur,MH,India,,
,Store_161,,Kolkata,MH,India,2022-07-10,OPEN
S0162,Store_162,EAST,,KL,India,2021-08-16,
S0163,,SOUTH,Hyderabad,WB,India,,OPEN
S0164,,,Kolkata,DL,India,2021-03-26,CLOSED
S0165,Store_165,EAST,Hyderabad,,India,2021-05-17,
,Store_166,,Indore,MP,India,2023-07-12,RENOVATION
S0167,Store_167,NORTH,Delhi,TN,India,,
S0168,Store_168,CENTRAL,,KL,India,,RENOVATION
S0169,Store_169,CENTRAL,Hyderabad,MH,,2021-05-28,
,Store_170,EAST,Kolkata,MH,,2022-04-02,CLOSED
S0171,Store_171,EAST,,RJ,India,2025-06-19,
S0172,Store_172,,Bengaluru,RJ,India,2024-06-21,
S0173,,WEST,,MH,India,2023-01-07,OPEN
S0174,Store_174,CENTRAL,Delhi,RJ,,,RENOVATION
S0175,,SOUTH,Kolkata,RJ,,2025-06-16,OPEN
S0176,Store_176,CENTRAL,Mumbai,,India,2025-02-02,
S0177,,CENTRAL,Jaipur,KA,India,,RENOVATION
S0178,,EAST,Pune,,India,2022-06-19,OPEN
S0179,,,Hyderabad,KA,India,2023-08-27,CLOSED
,Store_180,CENTRAL,Chennai,KA,India,2021-08-05,
,Store_181,SOUTH,Kolkata,MH,India,,CLOSED
,Store_182,NORTH,Bengaluru,MH,India,2023-12-06,
S0183,,NORTH,,DL,India,2023-01-31,RENOVATION
S0184,Store_184,EAST,,,India,2022-10-08,CLOSED
S0185,,EAST,Bengaluru,WB,,2022-03-15,RENOVATION
S0186,,CENTRAL,Mumbai,,India,2022-10-08,RENOVATION
,Store_187,WEST,Chennai,TS,,2021-09-15,OPEN
S0188,,EAST,Delhi,MP,,2025-02-11,OPEN
S0189,Store_189,NORTH,Chennai,RJ,,2023-05-17,
S0190,,EAST,Mumbai,TN,India,,RENOVATION
,Store_191,CENTRAL,,RJ,India,2022-08-10,CLOSED
S0192,,NORTH,,DL,India,2022-01-05,CLOSED
,Store_193,SOUTH,Delhi,RJ,,2025-08-28,RENOVATION
S0194,,NORTH,Kolkata,WB,India,,CLOSED
S0195,Store_195,CENTRAL,Bengaluru,TN,India,,
S0196,,SOUTH,Indore,,India,2025-07-28,OPEN
S0197,Store_197,NORTH,,TS,India,2024-11-15,
S0198,Store_198,,Chennai,DL,India,,RENOVATION
S0199,Store_199,,Pune,MP,India,,RENOVATION
,Store_200,SOUTH,Bengaluru,,India,2023-10-22,RENOVATION
S0201,,EAST,Indore,,India,2024-01-07,RENOVATION
S0202,Store_202,EAST,Mumbai,TS,,,OPEN
,Store_203,NORTH,Bengaluru,MP,India,,OPEN
S0204,Store_204,,Bengaluru,TS,India,2021-09-18,
S0205,Store_205,SOUTH,Kochi,WB,,2022-10-17,
S0206,,CENTRAL,Bengaluru,,India,2021-05-19,OPEN
,Store_207,NORTH,Mumbai,MH,India,,OPEN
S0208,Store_208,,Pune,MP,,2022-01-21,RENOVATION
S0209,Store_209,,Pune,KL,India,2023-12-04,
S0210,,EAST,Indore,KL,,2021-09-09,CLOSED
,Store_211,CENTRAL,Chennai,TN,India,,CLOSED
S0212,Store_212,CENTRAL,,MH,India,,CLOSED
S0213,,NORTH,,TN,India,2021-06-30,CLOSED
S0214,Store_214,EAST,Chennai,MH,India,,
S0215,Store_215,SOUTH,Kolkata,,India,2022-02-20,
S0216,Store_216,NORTH,,TS,India,,RENOVATION
S0217,,CENTRAL,Indore,RJ,,2021-05-22,RENOVATION
,Store_218,WEST,Delhi,KL,India,2024-01-31,
S0219,Store_219,,,TS,India,2023-07-03,OPEN
S0220,Store_220,SOUTH,Pune,KA,,,OPEN
,,CENTRAL,Chennai,MP,India,2022-06-24,OPEN
S0222,Store_222,WEST,,KL,India,2022-05-31,
S0223,,,Kochi,TS,India,2022-06-05,RENOVATION
S0224,,,Hyderabad,RJ,India,2025-03-30,CLOSED
S0225,Store_225,NORTH,Jaipur,,India,,RENOVATION
S0226,Store_226,WEST,Kolkata,MP,India,,
S0227,Store_227,NORTH,,KA,India,,OPEN
S0228,,NORTH,Pune,WB,India,,OPEN
S0229,Store_229,,,MH,India,2021-11-12,CLOSED
S0230,,CENTRAL,,WB,India,2025-02-07,CLOSED
S0231,,EAST,,TS,India,2024-03-28,RENOVATION
S0232,Store_232,EAST,Mumbai,TN,,,RENOVATION
S0233,Store_233,,Pune,TN,India,,OPEN
S0234,Store_234,NORTH,Chennai,,India,,OPEN
S0235,Store_235,WEST,Pune,,,2025-03-04,OPEN
S0236,Store_236,EAST,Indore,TS,India,,
S0237,Store_237,NORTH,Jaipur,,India,,CLOSED
S0238,Store_238,,Kochi,,India,2023-03-29,RENOVATION
,Store_239,CENTRAL,Delhi,TN,India,,OPEN
S0240,,WEST,,RJ,India,2022-10-06,RENOVATION
S0241,,WEST,Kolkata,DL,,2022-04-28,OPEN
S0242,,CENTRAL,,TS,India,2022-03-10,RENOVATION
,,EAST,Delhi,MP,India,2021-07-01,OPEN
S0244,Store_244,EAST,Hyderabad,,India,,CLOSED
,Store_245,WEST,Pune,TN,India,2024-04-14,
S0246,Store_246,EAST,Chennai,,,2025-08-13,CLOSED
S0247,Store_247,NORTH,Pune,,India,2022-12-22,
S0248,Store_248,,,KA,India,2025-11-17,CLOSED
S0249,Store_249,,Mumbai,MP,India,2023-09-26,
S0250,Store_250,,Delhi,KL,,2023-07-25,RENOVATION
,Store_251,WEST,Indore,TN,India,,CLOSED
S0252,Store_252,,Indore,,India,2023-05-07,RENOVATION
,,SOUTH,Chennai,DL,India,2024-05-17,CLOSED
S0254,Store_254,SOUTH,Hyderabad,,,2023-04-18,OPEN
,Store_255,WEST,Bengaluru,TS,India,2025-01-31,
S0256,Store_256,SOUTH,,MP,,2023-12-30,RENOVATION
S0257,Store_257,,Bengaluru,MP,India,,CLOSED
S0258,Store_258,,Kolkata,RJ,,2024-03-09,CLOSED
S0259,,CENTRAL,Chennai,MH,,2021-04-22,CLOSED
S0260,Store_260,SOUTH,Indore,,,2021-07-11,RENOVATION
,Store_261,CENTRAL,Chennai,TN,India,,RENOVATION
,,SOUTH,Indore,TS,India,2024-08-19,RENOVATION
S0263,,WEST,Chennai,TS,,2024-11-07,RENOVATION
,Store_264,CENTRAL,Chennai,TS,,2022-07-26,CLOSED
S0265,Store_265,,Indore,WB,,2025-07-01,RENOVATION
,Store_266,NORTH,,KL,India,2024-11-02,OPEN
,Store_267,SOUTH,,WB,India,2024-04-23,OPEN
S0268,Store_268,,Bengaluru,,India,2024-06-19,OPEN
S0269,Store_269,,Jaipur,,India,2021-04-21,CLOSED
S0270,Store_270,WEST,,TS,India,,CLOSED
S0271,Store_271,,Delhi,KA,India,2022-06-16,
S0272,Store_272,NORTH,Jaipur,TN,,,CLOSED
S0273,Store_273,,Hyderabad,TN,,2025-12-21,OPEN
S0274,Store_274,SOUTH,Chennai,MP,,2025-07-14,
S0275,,SOUTH,Jaipur,,India,2024-07-12,OPEN
S0276,Store_276,NORTH,Hyderabad,MP,,2022-06-26,
S0277,,,Hyderabad,DL,India,2025-03-22,CLOSED
S0278,Store_278,SOUTH,Delhi,MH,India,,
,Store_279,WEST,,KA,India,2022-02-03,CLOSED
S0280,Store_280,SOUTH,,,India,2022-08-25,RENOVATION
S0281,,,Pune,MP,India,2025-09-18,CLOSED
S0282,Store_282,EAST,,WB,India,2025-12-28,
S0283,Store_283,,Pune,MP,India,,CLOSED
,Store_284,,Pune,TN,India,2024-06-12,CLOSED
S0285,,WEST,Pune,TN,India,,OPEN
S0286,Store_286,SOUTH,Indore,TS,,,RENOVATION
,Store_287,EAST,Kolkata,DL,India,2022-01-11,
S0288,,CENTRAL,,WB,India,2025-03-17,OPEN
,,WEST,Chennai,DL,India,2025-09-12,OPEN
S0290,Store_290,NORTH,,KA,India,2022-11-14,
,Store_291,,Kolkata,TS,India,2021-10-07,OPEN
,Store_292,EAST,Delhi,,India,2025-06-13,RENOVATION
S0293,Store_293,SOUTH,,DL,,2022-09-10,RENOVATION
S0294,,EAST,Indore,,India,2024-06-13,OPEN
S0295,Store_295,,,WB,India,2023-01-22,CLOSED
S0296,Store_296,EAST,Pune,,India,2022-11-08,
,Store_297,CENTRAL,Hyderabad,MH,India,,RENOVATION
,Store_298,SOUTH,,DL,India,2022-12-12,RENOVATION
S0299,Store_299,SOUTH,Hyderabad,KL,,2025-10-17,
S0300,Store_300,,Chennai,MP,,2024-04-16,OPEN
S0301,,,Kochi,MP,India,2021-11-21,CLOSED
S0302,Store_302,,Jaipur,,India,2024-04-01,OPEN
S0303,Store_303,EAST,Indore,KL,India,,
S0304,Store_304,CENTRAL,Bengaluru,MH,,2021-02-07,
S0305,Store_305,EAST,,RJ,India,,RENOVATION
,Store_306,EAST,Hyderabad,MH,India,,CLOSED
S0307,Store_307,EAST,,,India,2021-10-22,RENOVATION
S0308,Store_308,WEST,Kolkata,RJ,,2026-01-09,
S0309,Store_309,EAST,Chennai,,India,,RENOVATION
S0310,Store_310,SOUTH,,RJ,,2021-09-05,OPEN
S0311,Store_311,,Bengaluru,MP,India,2021-07-13,
S0312,Store_312,NORTH,,TN,,2021-10-25,CLOSED
S0313,,NORTH,Bengaluru,WB,India,2021-07-28,
S0314,Store_314,,Pune,KA,India,,RENOVATION
,Store_315,NORTH,Chennai,MH,India,2024-07-03,
,Store_316,CENTRAL,,TS,India,2022-08-08,RENOVATION
S0317,Store_317,SOUTH,Jaipur,,,2022-06-30,OPEN
S0318,,SOUTH,Hyderabad,RJ,India,,OPEN
S0319,Store_319,NORTH,Bengaluru,,India,,RENOVATION
S0320,,EAST,Hyderabad,,India,2024-04-08,RENOVATION
S0321,,WEST,Kolkata,TS,,2025-05-01,RENOVATION
,,WEST,Hyderabad,RJ,India,2021-10-23,OPEN
,,NORTH,Delhi,MP,India,2023-03-01,OPEN
,Store_324,,Chennai,MH,India,2023-04-10,OPEN
,Store_325,,Jaipur,KA,India,2024-01-30,RENOVATION
S0326,Store_326,,Chennai,,India,2023-01-26,OPEN
S0327,,NORTH,Kochi,KA,India,2025-12-18,
,,EAST,Bengaluru,KL,India,2021-09-13,RENOVATION
,Store_329,CENTRAL,Kolkata,,India,2024-04-25,CLOSED
S0330,,,Mumbai,TS,India,2021-04-24,OPEN
,Store_331,,Hyderabad,KA,India,2021-07-18,OPEN
,Store_332,EAST,Indore,TN,,2021-10-25,OPEN
S0333,Store_333,WEST,,MP,,2023-09-19,RENOVATION
S0334,,CENTRAL,Hyderabad,DL,India,2025-11-04,
S0335,Store_335,SOUTH,Hyderabad,,India,,OPEN
S0336,,EAST,Mumbai,MH,India,2024-10-27,
S0337,Store_337,CENTRAL,Indore,WB,,2026-01-18,
,Store_338,CENTRAL,Delhi,DL,India,,OPEN
S0339,Store_339,EAST,,MH,India,2021-02-20,
S0340,,,Indore,TN,India,2025-07-31,CLOSED
S0341,Store_341,CENTRAL,Kolkata,,India,2022-07-07,
S0342,Store_342,,Kolkata,MH,India,,OPEN
S0343,Store_343,,Indore,,India,2025-12-28,OPEN
S0344,Store_344,NORTH,Kolkata,,India,2023-03-21,
S0345,Store_345,EAST,,,India,2021-03-30,RENOVATION
,Store_346,NORTH,Kolkata,MP,India,2023-06-19,
S0347,,SOUTH,Mumbai,KL,,2021-05-10,RENOVATION
S0348,,SOUTH,Hyderabad,,India,2025-10-26,OPEN
S0349,,CENTRAL,Pune,,India,2021-05-22,RENOVATION
,Store_350,NORTH,Delhi,,India,2024-04-24,OPEN
S0351,,EAST,Indore,,India,2021-09-07,CLOSED
S0352,Store_352,CENTRAL,,TS,India,,CLOSED
,Store_353,CENTRAL,Pune,WB,India,,RENOVATION
,Store_354,NORTH,,MP,India,2024-07-07,RENOVATION
,Store_355,EAST,Bengaluru,,India,2026-01-23,RENOVATION
S0356,Store_356,SOUTH,Indore,,,2022-07-03,RENOVATION
S0357,Store_357,CENTRAL,Pune,WB,,,CLOSED
S0358,Store_358,EAST,Delhi,TN,India,,
S0359,Store_359,SOUTH,,TN,India,,OPEN
,Store_360,EAST,Bengaluru,MP,India,,CLOSED
S0361,Store_361,SOUTH,Mumbai,,,2024-05-23,OPEN
S0362,Store_362,SOUTH,Kochi,RJ,,,OPEN
S0363,Store_363,EAST,Delhi,KA,India,,
,Store_364,NORTH,,WB,India,2024-06-24,RENOVATION
S0365,Store_365,,Indore,TS,,2025-05-06,OPEN
,Store_366,WEST,Hyderabad,KA,India,,RENOVATION
S0367,Store_367,,Bengaluru,RJ,India,,OPEN
S0368,Store_368,CENTRAL,Indore,MH,,2025-03-14,
,Store_369,WEST,Bengaluru,KA,India,2023-02-15,
S0370,,SOUTH,Indore,DL,India,2022-12-28,
S0371,,NORTH,Indore,MH,India,2024-01-06,
,Store_372,EAST,Chennai,,India,2024-12-08,RENOVATION
S0373,Store_373,NORTH,Jaipur,MH,,2025-10-02,
S0374,Store_374,EAST,,TN,,2022-03-24,CLOSED
S0375,Store_375,SOUTH,Kochi,MP,India,,
S0376,Store_376,EAST,,MH,India,2024-05-21,
S0377,Store_377,NORTH,Hyderabad,,India,,CLOSED
,Store_378,EAST,Kolkata,,India,2025-10-30,RENOVATION
S0379,Store_379,NORTH,Hyderabad,MH,,,CLOSED
S0380,Store_380,,Mumbai,DL,,2021-04-10,RENOVATION
,Store_381,SOUTH,Jaipur,KA,India,,CLOSED
S0382,Store_382,NORTH,Delhi,TN,,2023-11-09,
S0383,Store_383,NORTH,Kochi,,,2025-09-16,OPEN
S0384,Store_384,CENTRAL,Kolkata,,India,,RENOVATION
,Store_385,EAST,,TN,India,2023-04-24,RENOVATION
S0386,Store_386,EAST,Indore,,India,,OPEN
S0387,,CENTRAL,Indore,,India,2022-08-26,OPEN
S0388,Store_388,,Mumbai,KL,,2025-06-22,OPEN
S0389,,EAST,Delhi,MP,India,,CLOSED
,Store_390,CENTRAL,Jaipur,KA,India,2025-03-22,
S0391,Store_391,,,MH,India,2023-10-01,RENOVATION
S0392,Store_392,,Kolkata,,India,2024-07-08,CLOSED
S0393,Store_393,EAST,Kochi,WB,India,,
S0394,Store_394,EAST,,DL,,2024-11-26,RENOVATION
S0395,,EAST,,MH,India,2023-01-17,OPEN
S0396,Store_396,NORTH,Bengaluru,DL,India,,
S0397,Store_397,,Jaipur,TS,India,2022-08-13,
,Store_398,SOUTH,Bengaluru,TS,India,2025-10-13,
S0399,Store_399,,,MP,India,2025-02-08,RENOVATION
S0400,Store_400,,Delhi,KA,India,2024-01-20,
,Store_401,WEST,,KA,India,2025-02-11,CLOSED
,Store_402,NORTH,Indore,,India,2026-01-10,CLOSED
S0403,Store_403,WEST,,,India,2021-08-19,RENOVATION
S0404,,CENTRAL,Bengaluru,WB,India,,CLOSED
S0405,Store_405,EAST,,TN,India,2026-01-15,
S0406,,SOUTH,Indore,TS,India,2022-06-12,
S0407,Store_407,CENTRAL,Delhi,KL,,2022-05-11,
S0408,Store_408,,Mumbai,DL,India,,CLOSED
S0409,Store_409,,Kochi,TN,,2021-03-10,OPEN
S0410,,WEST,Mumbai,KA,,2024-02-07,RENOVATION
,Store_411,WEST,Delhi,KL,,2021-12-22,CLOSED
S0412,,EAST,Hyderabad,MH,,2022-11-09,CLOSED
S0413,Store_413,WEST,Pune,,,2026-01-21,CLOSED
S0414,Store_414,,Indore,KA,,2025-12-14,RENOVATION
S0415,Store_415,,Kolkata,RJ,India,2022-12-22,
S0416,Store_416,SOUTH,Jaipur,RJ,,2023-08-05,
S0417,Store_417,,Chennai,DL,India,2025-12-11,
,Store_418,,Kolkata,KA,India,2022-11-27,OPEN
S0419,Store_419,NORTH,,TS,India,2025-01-20,
S0420,Store_420,,,TN,India,2025-01-19,RENOVATION
S0421,,EAST,Delhi,KL,,2025-02-16,OPEN
S0422,Store_422,,Hyderabad,MP,India,,OPEN
,Store_423,CENTRAL,Jaipur,,India,2024-11-05,CLOSED
S0424,,NORTH,Mumbai,MP,India,,OPEN
S0425,Store_425,NORTH,Hyderabad,,India,,RENOVATION
S0426,Store_426,WEST,Kochi,,India,2023-12-27,
,Store_427,,Indore,KA,India,2026-01-16,RENOVATION
S0428,,CENTRAL,Kolkata,,India,2025-05-29,OPEN
S0429,Store_429,WEST,Chennai,,India,,CLOSED
S0430,Store_430,,Pune,MH,India,2021-11-18,
S0431,,SOUTH,Kochi,RJ,India,2024-01-26,
S0432,,NORTH,Mumbai,TS,India,,OPEN
,Store_433,SOUTH,Bengaluru,DL,,2024-02-21,OPEN
,Store_434,NORTH,Bengaluru,TS,India,2022-05-03,
,Store_435,SOUTH,Hyderabad,TS,,2024-09-18,CLOSED
,Store_436,NORTH,,RJ,India,2023-10-05,RENOVATION
S0437,Store_437,,,RJ,India,2023-03-07,CLOSED
S0438,Store_438,NORTH,Chennai,,India,2021-12-10,
S0439,Store_439,CENTRAL,,RJ,India,,OPEN
S0440,,SOUTH,Pune,TS,,2024-11-21,OPEN
,Store_441,SOUTH,Chennai,MH,India,2023-10-12,
S0442,,WEST,Chennai,,India,2024-06-23,OPEN
,Store_443,NORTH,Indore,DL,,2021-12-03,CLOSED
,Store_444,NORTH,Pune,,India,2024-10-08,CLOSED
,Store_445,SOUTH,Jaipur,MH,,2023-06-15,RENOVATION
S0446,,,Delhi,KA,India,2024-12-16,OPEN
S0447,,,Kochi,TS,India,2022-08-16,OPEN
,,EAST,Pune,DL,India,2021-07-05,OPEN
S0449,,SOUTH,Chennai,RJ,India,,CLOSED
S0450,,,Indore,TS,India,2022-07-31,RENOVATION
S0451,,EAST,Mumbai,DL,India,2023-08-02,
,Store_452,,Hyderabad,WB,India,2023-07-23,CLOSED
S0453,Store_453,SOUTH,Jaipur,,India,2024-01-23,
S0454,Store_454,,,TS,India,2025-09-20,CLOSED
S0455,Store_455,,Mumbai,DL,India,2025-12-23,
S0456,,WEST,Indore,KL,India,2021-11-14,
,Store_457,WEST,Hyderabad,,India,2021-08-20,OPEN
S0458,Store_458,WEST,Pune,WB,,2025-08-06,
,Store_459,,Pune,WB,India,2022-11-29,CLOSED
S0460,Store_460,EAST,,RJ,India,2023-03-31,
